ANDALUCÍA	
    6.-TRÁFICO DE DROGAS (EU)	12.0	10.0	-16.7	
    7.-DAÑOS	145.0	116.0	-20.0	
    8.-HURTOS	342.0	299.0	-12.6	
- Municipio de San Fernando	
    1.-DELITOS Y FALTAS (EU)	879.0	832.0	-5.3	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	7.0	8.0	14.3	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	14.0	30.0	114.3	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	39.0	38.0	-2.6	
    6.-TRÁFICO DE DROGAS (EU)	8.0	8.0	0.0	
    7.-DAÑOS	110.0	82.0	-25.5	
    8.-HURTOS	312.0	309.0	-1.0	
- Municipio de Sanlúcar de Barrameda	
    1.-DELITOS Y FALTAS (EU)	602.0	653.0	8.5	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	15.0	19.0	26.7	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	39.0	47.0	20.5	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	40.0	34.0	-15.0	
    6.-TRÁFICO DE DROGAS (EU)	1.0	8.0	700.0	
    7.-DAÑOS	79.0	105.0	32.9	
    8.-HURTOS	198.0	219.0	10.6	
Provincia de CÓRDOBA	
    1.-DELITOS Y FALTAS (EU)	6670.0	6056.0	-9.2	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	120.0	127.0	5.8	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	297.0	321.0	8.1	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	113.0	113.0	0.0	
    6.-TRÁFICO DE DROGAS (EU)	26.0	36.0	38.5	
    7.-DAÑOS	710.0	630.0	-11.3	
    8.-HURTOS	2146.0	1976.0	-7.9	
- Municipio de Córdoba	
    1.-DELITOS Y FALTAS (EU)	3935.0	3456.0	-12.2	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	94.0	92.0	-2.1	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	136.0	112.0	-17.6	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	79.0	70.0	-11.4	
    6.-TRÁFICO DE DROGAS (EU)	19.0	31.0	63.2	
    7.-DAÑOS	412.0	365.0	-11.4	
    8.-HURTOS	1361.0	1223.0	-10.1	
Provincia de GRANADA	
    1.-DELITOS Y FALTAS (EU)	8486.0	8150.0	-4.0	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	2.0	0.0	-100.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	214.0	183.0	-14.5	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	514.0	593.0	15.4	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	203.0	238.0	17.2	
    6.-TRÁFICO DE DROGAS (EU)	128.0	101.0	-21.1	
    7.-DAÑOS	960.0	938.0	-2.3	
    8.-HURTOS	2761.0	2630.0	-4.7	
- Municipio de Granada	
    1.-DELITOS Y FALTAS (EU)	3374.0	3184.0	-5.6	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	123.0	120.0	-2.4	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	98.0	88.0	-10.2	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	84.0	89.0	6.0	
    6.-TRÁFICO DE DROGAS (EU)	41.0	20.0	-51.2	
    7.-DAÑOS	291.0	333.0	14.4	
    8.-HURTOS	1435.0	1389.0	-3.2	
- Municipio de Motril	
    1.-DELITOS Y FALTAS (EU)	663.0	667.0	0.6	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	20.0	14.0	-30.0	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	24.0	55.0	129.2	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	16.0	41.0	156.3	
    6.-TRÁFICO DE DROGAS (EU)	9.0	10.0	11.1	
    7.-DAÑOS	79.0	90.0	13.9	
    8.-HURTOS	175.0	172.0	-1.7	
Provincia de HUELVA	
    1.-DELITOS Y FALTAS (EU)	5206.0	5045.0	-3.1	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	1.0	1.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	79.0	75.0	-5.1	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	497.0	453.0	-8.9	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	85.0	101.0	18.8	
    6.-TRÁFICO DE DROGAS (EU)	34.0	22.0	-35.3	
    7.-DAÑOS	401.0	486.0	21.2	
    8.-HURTOS	1486.0	1408.0	-5.2	
- Municipio de Huelva	
    1.-DELITOS Y FALTAS (EU)	2134.0	1917.0	-10.2	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	39.0	42.0	7.7	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	43.0	24.0	-44.2	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	34.0	28.0	-17.6	
