Item;Serving Size;Calories;Calories from Fat;Total Fat;Saturated Fat;Trans Fat;Cholesterol;Sodium;Carbohydrates;Dietary Fiber;Sugars;Protein;Category ID
Sprite (Large);30 fl oz cup;280.0;0 cal;0,0;0.0;0.0;0;60;74;0;74;0;1
Sprite (Child);12 fl oz cup;100.0;0 cal;0,0;0.0;0.0;0;25;27;0;27;0;1
1% Low Fat Milk Jug;1 carton (236 ml);100.0;20 cal;2,5;1.5;0.0;10;125;12;0;12;8;1
Fat Free Chocolate Milk Jug;1 carton (236 ml);130.0;0 cal;0,0;0.0;0.0;5;135;23;1;22;9;1
Minute Maid 100% Apple Juice Box;6 fl oz (177 ml);80.0;0 cal;0,0;0.0;0.0;0;15;21;0;19;0;1
Minute Maid Orange Juice (Small);12 fl oz cup;150.0;0 cal;0,0;0.0;0.0;0;0;34;0;30;2;1
Minute Maid Orange Juice (Medium);16 fl oz cup;190.0;0 cal;0,0;0.0;0.0;0;0;44;0;39;3;1
Minute Maid Orange Juice (Large);22 fl oz cup;280.0;0 cal;0,0;0.0;0.0;0;5;65;0;58;4;1
Dasani Water Bottle;16.9 fl oz;;0 cal;0,0;0.0;0.0;0;0;0;0;0;0;1
Iced Tea (Small);16 fl oz cup;0.0;0 cal;0,0;0.0;0.0;0;10;0;0;0;0;4
Iced Tea (Medium);21 fl oz cup;0.0;0 cal;0,0;0.0;0.0;0;10;0;0;0;0;4
Iced Tea (Large);30 fl oz cup;0.0;0 cal;0,0;0.0;0.0;0;15;0;0;0;0;4
Iced Tea (Child);12 fl oz cup;0.0;0 cal;0,0;0.0;0.0;0;5;0;0;0;0;4
Sweet Tea (Small);16 fl oz cup;150.0;0 cal;0,0;0.0;0.0;0;10;36;0;36;1;4
Sweet Tea (Medium);21 fl oz cup;180.0;0 cal;0,0;0.0;0.0;0;10;45;0;45;1;4
Sweet Tea (Large);30 fl oz cup;220.0;0 cal;0,0;0.0;0.0;0;10;54;0;54;1;4
Sweet Tea (Child);12 fl oz cup;110.0;0 cal;0,0;0.0;0.0;0;5;27;0;27;0;4
Coffee (Small);12 fl oz cup;0.0;0 cal;0,0;0.0;0.0;0;0;0;0;0;0;4
Coffee (Medium);16 fl oz cup;0.0;0 cal;0,0;0.0;0.0;0;0;0;0;0;0;4
Coffee (Large);16 fl oz cup;0.0;0 cal;0,0;0.0;0.0;0;0;0;0;0;0;4
Latte (Small);12 fl oz cup;170.0;80 cal;9,0;5.0;0.0;25;115;15;1;12;9;4
Latte (Medium);16 fl oz cup;210.0;90 cal;10,0;6.0;0.0;30;140;18;1;15;11;4
Latte (Large);20 fl oz cup;280.0;120 cal;14,0;8.0;0.0;40;180;24;1;20;15;4
Caramel Latte (Small);12 fl oz cup;270.0;80 cal;9,0;5.0;0.0;25;115;40;1;38;9;4
Caramel Latte (Medium);16 fl oz cup;340.0;90 cal;10,0;6.0;0.0;30;140;50;1;48;11;4
Caramel Latte (Large);20 fl oz cup;430.0;120 cal;14,0;8.0;0.0;40;180;62;1;59;15;4
Hazelnut Latte (Small);12 fl oz cup;270.0;80 cal;9,0;5.0;0.0;25;115;40;1;38;9;4
Hazelnut Latte (Medium);16 fl oz cup;330.0;90 cal;10,0;6.0;0.0;30;140;50;1;47;11;4
Hazelnut Latte (Large);20 fl oz cup;430.0;120 cal;14,0;8.0;0.0;40;180;62;1;58;15;4
French Vanilla Latte (Small);12 fl oz cup;260.0;80 cal;9,0;5.0;0.0;25;115;38;1;36;9;4
French Vanilla Latte (Medium);16 fl oz cup;330.0;90 cal;10,0;6.0;0.0;30;140;48;1;45;11;4
French Vanilla Latte (Large);20 fl oz cup;420.0;120 cal;14,0;8.0;0.0;40;190;60;1;56;15;4
Latte with Sugar Free French Vanilla Syrup (Small);12 fl oz cup;210.0;80 cal;9,0;5.0;0.0;25;150;24;1;12;9;4
Latte with Sugar Free French Vanilla Syrup (Medium);16 fl oz cup;260.0;90 cal;10,0;6.0;0.0;30;190;29;1;15;12;4
Latte with Sugar Free French Vanilla Syrup (Large);20 fl oz cup;330.0;120 cal;14,0;8.0;0.0;40;240;37;2;20;15;4
Nonfat Latte (Small);12 fl oz cup;100.0;0 cal;0,0;0.0;0.0;5;110;15;1;13;10;4
Nonfat Latte (Medium);16 fl oz cup;130.0;0 cal;0,0;0.0;0.0;5;135;19;1;16;12;4
Nonfat Latte (Large);20 fl oz cup;170.0;0 cal;0,5;0.0;0.0;10;180;25;1;21;16;4
Nonfat Caramel Latte (Small);12 fl oz cup;200.0;0 cal;0,0;0.0;0.0;5;110;41;1;39;10;4
Nonfat Caramel Latte (Medium);16 fl oz cup;250.0;0 cal;0,0;0.0;0.0;5;135;51;1;48;12;4
Nonfat Caramel Latte (Large);20 fl oz cup;310.0;0 cal;0,5;0.0;0.0;10;180;63;1;59;16;4
Nonfat Hazelnut Latte (Small);12 fl oz cup;200.0;0 cal;0,0;0.0;0.0;5;110;40;1;38;10;4
Nonfat Hazelnut Latte (Medium);16 fl oz cup;250.0;0 cal;0,0;0.0;0.0;5;135;51;1;48;12;4
Nonfat Hazelnut Latte (Large);20 fl oz cup;310.0;0 cal;0,5;0.0;0.0;10;180;63;1;59;16;4
Nonfat French Vanilla Latte (Small);12 fl oz cup;190.0;0 cal;0,0;0.0;0.0;5;115;39;1;37;10;4
Nonfat French Vanilla Latte (Medium);16 fl oz cup;240.0;0 cal;0,0;0.0;0.0;5;140;49;1;46;12;4
Nonfat French Vanilla Latte (Large);20 fl oz cup;300.0;0 cal;0,5;0.0;0.0;10;180;60;1;56;16;4
