AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2019;Abril;USERA;18;4;17;5;19;3;4;70
2019;Abril;PUENTE VALLECAS;29;7;27;10;37;20;21;151
2019;Abril;MORATALAZ;9;1;7;5;10;3;1;36
2019;Abril;CIUDAD LINEAL;27;8;21;6;35;10;1;108
2019;Abril;HORTALEZA;10;5;14;5;35;15;3;87
2019;Abril;VILLAVERDE;31;5;21;5;14;3;1;80
2019;Abril;VILLA DE VALLECAS;12;1;9;2;9;9;2;44
2019;Abril;VICALVARO;5;3;6;2;9;4;0;29
2019;Abril;SAN BLAS;17;5;10;8;30;3;4;77
2019;Abril;BARAJAS;4;1;4;3;6;2;3;23
2019;Abril;FUERA TERMINO MUNICIPAL;1;0;1;0;0;0;1;3
2019;Mayo;CENTRO;33;33;38;19;60;16;7;206
2019;Mayo;ARGANZUELA;30;8;17;9;47;13;7;131
2019;Mayo;RETIRO;14;5;16;4;32;6;4;81
2019;Mayo;SALAMANCA;22;13;20;5;31;11;8;110
2019;Mayo;CHAMARTIN;17;8;14;10;49;7;4;109
2019;Mayo;TETUAN;24;12;23;4;31;12;5;111
